class1,class2,class3,class4,class5,class6,class7,class8,class9,ID
0.0142701622099,0.272613018752,0.0143560860306,0.0436906851828,0.0614988543094,0.0109734215075,0.577071458101,0.00373431137996,0.00179199394188,0
0.334666460752,0.0939734131097,0.0060905055143,0.39166522026,0.0246936762706,0.0271091745235,0.117812458426,0.00181420664012,0.00217487764894,1
0.0483323093503,0.180332355202,0.0070426238235,0.0957377515735,0.126242857426,0.00983924581671,0.528881341219,0.00218773353845,0.00140380932135,2
0.0599896814674,0.066308485344,0.00299552065553,0.0399790802039,0.0147088984959,0.0129641308449,0.799134850502,0.00179270855733,0.00212664285209,3
0.0451064584777,0.21147672832,0.00880166370188,0.426335275173,0.0242602042854,0.0734934145585,0.198252163827,0.00572240690235,0.00655167968944,4
0.221002824605,0.116548627615,0.00693766796031,0.531759649515,0.0174528900534,0.0222887806595,0.0781744755805,0.00295321710291,0.00288188911509,5
0.0276389624924,0.255874626338,0.0195826329291,0.0474840588868,0.111194368452,0.0125539810397,0.522233873606,0.00206548269489,0.0013720057832,6
0.0594203118234,0.033689185977,0.00411746487953,0.583370998502,0.0641674101352,0.0563592221588,0.194120336324,0.00261596424389,0.00213910455932,7
0.136347997934,0.0603643581272,0.00466998736374,0.344598799944,0.0762613322584,0.0282982210629,0.34518353641,0.00216929672751,0.00210644281469,8
0.0670156292617,0.161660045385,0.00520728761331,0.285453811288,0.0452399291098,0.0267354333773,0.40244975686,0.0027181468613,0.00351994932862,9
0.0494864219799,0.104975329712,0.0655082991579,0.0516567826271,0.0360423307866,0.0297700902448,0.654434531928,0.00351250986569,0.00461369589902,10
0.0361496051774,0.0373452138155,0.00467658811249,0.238842859865,0.0376785974949,0.0204889215529,0.623488217592,0.0006934973062,0.000636516771918,11
0.357925519347,0.0119908028282,0.00377517694142,0.0366274453699,0.321409218013,0.247832797468,0.0184369301424,0.000762159696026,0.00123993965099,12
0.0160271390342,0.0605454947799,0.00554687017574,0.0617421660573,0.0258043501526,0.00850755698047,0.820348709822,0.000794486128143,0.000683196689351,13
0.0299237733707,0.270720355213,0.0238446823787,0.238266862929,0.0863530784845,0.0301999673247,0.312776312232,0.00406813115114,0.00384682527511,14
0.0288683744147,0.0839146003127,0.0015266656992,0.07223521173,0.0441323816776,0.010362500092,0.756253480912,0.000996514514554,0.00171028255136,15
0.129486113787,0.044548433274,0.00436453710426,0.39304433763,0.0504649188369,0.0322124976665,0.336672738194,0.0014679372689,0.00773847743403,16
0.0405806265772,0.157519899308,0.00558437313884,0.0457071922719,0.0886193104089,0.0185663315933,0.639630705118,0.00147297033982,0.00231858344341,17
0.0628576204181,0.143258936704,0.00334414622921,0.115739107132,0.0463986992836,0.0441011302173,0.581810712815,0.00122006055608,0.00126958327019,18
0.00211838592076,0.0173896173946,0.666729480028,0.00464254547842,0.00483207846992,0.0013694325753,0.302356421948,0.000298858576571,0.000263206246018,19
0.292649038136,0.0446087922901,0.00870699225923,0.36451138556,0.0534661374986,0.0356252137571,0.190211452544,0.0051382065285,0.00508278682537,20
0.00717562297359,0.107034377754,0.00912170019003,0.0111735428218,0.0207567103207,0.00437802268425,0.839151918889,0.000592594333283,0.000615524986642,21
0.147062225267,0.0203243219294,0.00465950369835,0.785009860993,0.0119276796467,0.00856011966243,0.0180347096175,0.00177019008697,0.00265142234275,22
0.144410472363,0.198913812638,0.00719709740953,0.0669411737472,0.0771267525852,0.0549740437418,0.432341650128,0.0147723947884,0.00332259037532,23
0.00772425695322,0.234051950276,0.0026069493033,0.0406866883859,0.00889300415292,0.040785989957,0.662471443415,0.00161232281243,0.00116736197379,24
0.292883738876,0.0281270854176,0.00271408111439,0.390354327858,0.0101393721998,0.0306941987947,0.239056808874,0.00181703988346,0.00421334384009,25
0.0475390497595,0.21429938823,0.0016446467489,0.271984368563,0.00641484651715,0.00690550799482,0.449064686894,0.00110252939339,0.00104493738036,26
0.0110443076119,0.159287329763,0.00296503212303,0.0410547107458,0.0129614528269,0.0198904520366,0.750194460153,0.00161500152899,0.00098725625139,27
0.28501662612,0.0530681237578,0.00359285919695,0.140667513013,0.0155528408941,0.012948452495,0.48434150219,0.00393946515396,0.000872606804478,28
0.0787452720105,0.254788294435,0.00259964069119,0.270610846579,0.0232571852394,0.0236681853421,0.342578776181,0.00198813098541,0.00176367108361,29
0.0173105373979,0.255588717759,0.00294940255117,0.0311613511294,0.0237860186026,0.0186117072589,0.645746320486,0.00227246165741,0.0025734892406,30
0.0351298339665,0.0371436108835,0.00204483687412,0.0597810093313,0.0159715642222,0.00941873039121,0.836441546679,0.00233472941909,0.00173416081816,31
0.0151829924435,0.204517662526,0.00795107986778,0.0928797586823,0.0568438675255,0.0319613176398,0.585765212774,0.00325542397331,0.00164271102403,32
0.475949212908,0.077408477664,0.00281562411692,0.075053691864,0.016070951242,0.0114303994924,0.329082213342,0.002582214016,0.00960717402634,33
0.0335980569943,0.259378895164,0.00767046830153,0.0629525724798,0.0380952898413,0.0462857950479,0.541276738047,0.0068722012802,0.00386996354791,34
0.308057829737,0.038612741977,0.00591550953686,0.402273505926,0.0235022404231,0.00738040893339,0.208680659533,0.00221022565529,0.00336687406525,35
0.0417152130976,0.132470037788,0.00601402623578,0.066194890067,0.00370408192975,0.0287246275694,0.716828018427,0.00205801140692,0.00229109515203,36
